Prime_p,6N_Wing,Mod_24,Root_Number,True_Rank,Rank_Lo,Rank_Hi,Computation_Status
5,-1,5,1,0,0,0,certified
7,1,7,-1,1,1,1,certified
11,-1,11,1,2,2,2,certified
13,1,13,-1,1,1,1,certified
17,-1,17,1,0,0,0,certified
19,1,19,-1,1,1,1,certified
23,-1,23,-1,1,1,1,certified
29,-1,5,-1,1,1,1,certified
31,1,7,1,0,0,0,certified
37,1,13,1,0,0,0,certified
41,-1,17,1,0,0,0,certified
43,1,19,-1,1,1,1,certified
47,-1,23,1,2,2,2,certified
53,-1,5,1,2,2,2,certified
59,-1,11,-1,1,1,1,certified
61,1,13,1,2,2,2,certified
67,1,19,1,2,2,2,certified
71,-1,23,-1,1,1,1,certified
73,1,1,1,0,0,0,certified
79,1,7,-1,1,1,1,certified
83,-1,11,1,2,2,2,certified
89,-1,17,1,2,2,2,certified
97,1,1,1,0,0,0,certified
101,-1,5,-1,1,1,1,certified
103,1,7,1,0,0,0,certified
107,-1,11,-1,1,1,1,certified
109,1,13,1,2,2,2,certified
113,-1,17,1,,0,2,bounded
127,1,7,-1,1,1,1,certified
131,-1,11,-1,1,1,1,certified
137,-1,17,-1,1,1,1,certified
139,1,19,1,2,2,2,certified
149,-1,5,1,,0,2,bounded
151,1,7,-1,1,1,1,certified
157,1,13,-1,1,1,1,certified
163,1,19,-1,1,1,1,certified
167,-1,23,-1,1,1,1,certified
173,-1,5,-1,1,1,1,certified
179,-1,11,-1,1,1,1,certified
181,1,13,1,0,0,0,certified
191,-1,23,1,2,2,2,certified
193,1,1,-1,1,1,1,certified
197,-1,5,1,0,0,0,certified
199,1,7,-1,1,1,1,certified
211,1,19,1,2,2,2,certified
223,1,7,-1,1,1,1,certified
227,-1,11,1,0,0,0,certified
229,1,13,-1,1,1,1,certified
233,-1,17,1,2,2,2,certified
239,-1,23,-1,1,1,1,certified
241,1,1,1,0,0,0,certified
251,-1,11,-1,1,1,1,certified
257,-1,17,1,0,0,0,certified
263,-1,23,1,0,0,0,certified
269,-1,5,1,0,0,0,certified
271,1,7,-1,1,1,1,certified
277,1,13,1,2,2,2,certified
281,-1,17,-1,1,1,1,certified
283,1,19,1,0,0,0,certified
293,-1,5,1,2,2,2,certified
307,1,19,-1,3,3,3,certified
311,-1,23,-1,1,1,1,certified
313,1,1,1,0,0,0,certified
317,-1,5,-1,1,1,1,certified
331,1,19,-1,1,1,1,certified
337,1,1,-1,1,1,1,certified
347,-1,11,-1,1,1,1,certified
349,1,13,1,0,0,0,certified
353,-1,17,-1,1,1,1,certified
359,-1,23,-1,1,1,1,certified
367,1,7,-1,1,1,1,certified
373,1,13,-1,1,1,1,certified
379,1,19,-1,1,1,1,certified
383,-1,23,-1,1,1,1,certified
389,-1,5,-1,1,1,1,certified
397,1,13,1,2,2,2,certified
401,-1,17,1,0,0,0,certified
409,1,1,-1,1,1,1,certified
419,-1,11,-1,1,1,1,certified
421,1,13,1,,0,2,bounded
431,-1,23,-1,3,3,3,certified
433,1,1,1,2,2,2,certified
439,1,7,-1,1,1,1,certified
443,-1,11,1,2,2,2,certified
449,-1,17,1,,0,2,bounded
457,1,1,1,0,0,0,certified
461,-1,5,-1,1,1,1,certified
463,1,7,1,2,2,2,certified
467,-1,11,-1,1,1,1,certified
479,-1,23,1,0,0,0,certified
487,1,7,-1,1,1,1,certified
491,-1,11,-1,1,1,1,certified
499,1,19,1,2,2,2,certified
503,-1,23,-1,3,3,3,certified
509,-1,5,1,2,2,2,certified
521,-1,17,1,0,0,0,certified
523,1,19,-1,1,1,1,certified
541,1,13,1,0,0,0,certified
547,1,19,-1,1,1,1,certified
557,-1,5,1,2,2,2,certified
563,-1,11,-1,1,1,1,certified
569,-1,17,-1,1,1,1,certified
571,1,19,1,2,2,2,certified
577,1,1,1,0,0,0,certified
587,-1,11,1,2,2,2,certified
593,-1,17,1,2,2,2,certified
599,-1,23,-1,1,1,1,certified
601,1,1,1,,0,2,bounded
607,1,7,1,0,0,0,certified
613,1,13,1,0,0,0,certified
617,-1,17,1,0,0,0,certified
619,1,19,-1,1,1,1,certified
631,1,7,-1,1,1,1,certified
641,-1,17,-1,1,1,1,certified
643,1,19,1,2,2,2,certified
647,-1,23,-1,1,1,1,certified
653,-1,5,1,,0,2,bounded
659,-1,11,1,2,2,2,certified
661,1,13,-1,1,1,1,certified
673,1,1,1,2,2,2,certified
677,-1,5,-1,1,1,1,certified
